,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.955076923076923,0.9821185342931595,0.9551384049076316,0.955076923076923,0.9550637992611871,0.9100746582024627
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0
KNN,0.9969230769230769,0.99998786566073,0.9969302716862971,0.9969230769230769,0.9969232729136865,0.9938456486003802
Naive Bayes,0.812923076923077,0.8973070867574923,0.8292768741253035,0.812923076923077,0.8095554811258729,0.6398863741071603
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,1.0,0.9999999999999999,1.0,1.0,1.0,1.0
